繁體	简体	吳拼	備注
耗	耗	hau5	
孝	孝	hau5	〜子
坳	坳	au1	
襖	袄	au3	
凹	凹	au3	
奧	奥	au5	
懊	懊	au5	
袍	袍	bau2	
抱	抱	bau2	
跑	跑	bau2	
刨	刨	bau2	
雹	雹	bau2	
鮑	鲍	bau2	
暴	暴	bau6	
瀑	瀑	bau6	
曝	曝	bau6	
毛	毛	mau2	
茅	茅	mau2	
貓	猫	mau2	
錨	锚	mau2	
卯	卯	mau2	
冒	冒	mau6	
帽	帽	mau6	
貌	貌	mau6	
桃	桃	dau2	
逃	逃	dau2	
淘	淘	dau2	
陶	陶	dau2	
萄	萄	dau2	
濤	涛	dau2	
道	道	dau2	
稻	稻	dau2	
掏	掏	dau2	
盜	盗	dau6	
導	导	dau6	
腦	脑	nau2	
惱	恼	nau2	
撓	挠	nau2	
鬧	闹	nau6	
勞	劳	lau2	
牢	牢	lau2	
嘮	唠	lau2	
老	老	lau2	
澇	涝	lau2	
𤶁	𤶁	lau6	疥～，疥疮
曹	曹	dzau2	
槽	槽	dzau2	
巢	巢	dzau2	
皁	皂	zau2	
造	造	zau2	
槽	槽	zau2	
熬	熬	ngau2	
咬	咬	ngau2	
傲	傲	ngau6	
鏊	鏊	ngau6	
豪	豪	ghau2	
壕	壕	ghau2	
毫	毫	ghau2	
號	号	ghau2	呼〜
浩	浩	ghau2	
號	号	ghau6	〜数
嬤	嬷	mho5	阿〜
渣	渣	tso1	
遮	遮	tso1	
詐	诈	tso5	
榨	榨	tso5	
炸	炸	tso5	〜弹
庶	庶	tso5	
叉	叉	tsho1	
杈	杈	tsho1	
差	差	tsho1	〜不多
車	车	tsho1	马〜
釵	钗	tsho1	
扯	扯	tsho3	
岔	岔	tsho5	
蓑	蓑	so1	
莎	莎	so1	
沙	沙	so1	
紗	纱	so1	
奢	奢	so1	
賒	赊	so1	
所	所	so1	
舍	舍	so3	
所	所	so3	
舍	舍	so5	
赦	赦	so5	
啥	啥	so5	
家	家	ko1	
加	加	ko1	
嘉	嘉	ko1	
假	假	ko3	真〜
假	假	ko5	放〜
架	架	ko5	
駕	驾	ko5	
嫁	嫁	ko5	
價	价	ko5	
揢	揢	kho5	
抲	抲	kho5	〜鱼
呵	呵	ho5	〜痒
鴉	鸦	oo1	
丫	丫	oo1	
椏	桠	oo1	
啞	哑	oo3	
掗	挜	oo5	〜把侬
査	査	dzo2	
茶	茶	dzo2	
搽	搽	dzo2	
蛇	蛇	dzo2	
佘	佘	dzo2	姓
☐	☐	dzo2	〜篓：傻子
乍	乍	dzo6	
麝	麝	dzo6	〜香
牙	牙	ngo2	
芽	芽	ngo2	
衙	衙	ngo2	
我	我	ngo2	
瓦	瓦	ngo2	
砑	砑	ngo6	〜平
下	下	gho2	底
夏	夏	gho2	
姓	姓	gho2	
廈	厦	gho2	〜门
下	下	gho6	〜降
夏	夏	gho6	春〜
班	班	pae1	
斑	斑	pae1	
頒	颁	pae1	
扳	扳	pae1	
板	板	pae3	
版	版	pae3	
扮	扮	pae5	
攀	攀	phae1	
盼	盼	phae5	
襻	襻	phae5	
藩	藩	fae1	
翻	翻	fae1	
番	番	fae1	
反	反	fae3	
泛	泛	fae5	
販	贩	fae5	
㽹	㽹	fae5	
耽	耽	tae1	
擔	担	tae1	动
丹	丹	tae1	
單	单	tae1	
旦	旦	tae1	
膽	胆	tae3	
撣	掸	tae3	〜尘
擔	担	tae5	名
旦	旦	tae5	
坍	坍	thae1	
灘	滩	thae1	
攤	摊	thae1	
毯	毯	thae3	
坦	坦	thae5	
炭	炭	thae5	
嘆	叹	thae5	
斬	斩	tsae1	
盞	盏	tsae3	
蘸	蘸	tsae5	
贊	赞	tsae5	
瓚	瓒	tsae5	
攙	搀	tshae1	
餐	餐	tshae1	
伊	伊	tshae3	
產	产	tshae3	
燦	灿	tshae5	
三	三	sae1	
杉	杉	sae1	
衫	衫	sae1	
珊	珊	sae1	
山	山	sae1	
刪	删	sae1	
散	散	sae3	
傘	伞	sae3	
散	散	sae5	
疝	疝	sae5	～气
柵	栅	sae5	
傘	伞	sae5	
尷	尴	kae1	
監	监	kae1	〜视
間	间	kae1	房〜
奸	奸	kae1	
減	减	kae3	
礆	硷	kae3	
揀	拣	kae3	
間	间	kae5	
堪	堪	khae1	
龕	龛	khae1	
嵌	嵌	khae1	
艦	艦	khae1	
刊	刊	khae1	
砍	砍	khae3	
勘	勘	khae5	
嵌	嵌	khae5	
喊	喊	hae3	
鴨	鸭	ae3	
晏	晏	ae5	晚也
遘	遘	bae2	
爿	爿	bae2	
敗	败	bae6	
埋	埋	mae2	文
買	买	mae2	文
貓	猫	mae2	
蠻	蛮	mae2	
饅	馒	mae2	文,〜头
晚	晚	mae2	
邁	迈	mae6	
賣	卖	mae6	
慢	慢	mae6	
萬	万	mae6	
蔓	蔓	mae6	
凡	凡	vae2	
帆	帆	vae2	
範	范	vae2	
犯	犯	vae2	
煩	烦	vae2	
藩	藩	vae2	
礬	矾	vae2	
繁	繁	vae2	
晚	晚	vae2	文
飯	饭	vae6	
萬	万	vae6	
談	谈	dae2	
痰	痰	dae2	
淡	淡	dae2	
譚	谭	dae2	
檀	檀	dae2	
彈	弹	dae2	〜琴
但	但	dae6	
彈	弹	dae6	子〜
蛋	蛋	dae6	
難	难	nae2	〜易
乃	乃	nae6	
奈	奈	nae6	
難	难	nae6	患〜
藍	蓝	lae2	
籃	篮	lae2	
覽	览	lae2	
欖	榄	lae2	
攬	揽	lae2	
蘭	兰	lae2	
攔	拦	lae2	
欄	栏	lae2	
懶	懒	lae2	
癩	癞	lae6	文
濫	滥	lae6	
纜	缆	lae6	
爛	烂	lae6	
慚	惭	dzae2	
讒	谗	dzae2	
鐫	镌	dzae2	
暫	暂	dzae6	
鏨	錾	dzae6	〜花
賺	赚	dzae6	
站	站	dzae6	
棧	栈	dzae6	
綻	绽	dzae6	
鑱	镵	zae2	犁〜
巖	岩	ngae2	
銜	衔	ngae2	
眼	眼	ngae2	
顏	颜	ngae2	
岸	岸	ngae6	
鹹	咸	ghae2	
閒	闲	ghae2	
閑	闲	ghae2	
限	限	ghae2	
