繁體	简体	吳拼	備註
皺	皱	tseu5	
㑳	㑇	tseu5	
甃	甃	tseu5	
醔	醔	tsheu1	
湊	凑	tsheu5	
凑	凑	tsheu5	
腠	腠	tsheu5	
輳	辏	tsheu5	
簉	簉	tsheu5	
遚	遚	tsheu5	
楱	楱	tsheu5	
叟	叟	seu1	
搜	搜	seu1	
捜	搜	seu1	
蒐	搜	seu1	
颼	飕	seu1	
艘	艘	seu1	
餿	馊	seu1	
溲	溲	seu1	
鎪	锼	seu1	
𩌅	𩌅	seu1	
䱸	𫠑	seu1	
廋	廋	seu1	
螋	螋	seu1	
捜	捜	seu1	
獀	獀	seu1	
鄋	鄋	seu1	
騪	𩨄	seu1	
𣔱	𣔱	seu1	
𣮬	𣮬	seu1	
𪞫	𪞫	seu1	冷𪞫𪞫
犙	犙	seu1	
醙	醙	seu1	
鏉	𨱒	seu1	
毨	毨	seu3	禽類、鳥類用嘴整理羽毛
瞍	瞍	seu3	
傁	傁	seu3	
叜	叜	seu3	
廀	廀	seu3	
擻	擞	seu3	
藪	薮	seu3	
嗾	嗾	seu3	
籔	䉤	seu3	
謏	𫍲	seu3	
瘦	瘦	seu5	
痩	瘦	seu5	
嗖	嗖	seu5	
嗽	嗽	seu5	
漱	漱	seu5	
潄	漱	seu5	
摗	摗	seu5	（鴨子等）以嘴覓取食物
瘶	瘶	seu5	
鏉	𨱒	seu5	
謏	𫍲	seu5	
愁	愁	zeu2	
驟	骤	zeu2	
䠫	䠫	zeu2	
僽	僽	zeu6	
愁	愁	zeu6	僅限於「愁愁」
勾	勾	keu1	
句	句	keu1	古地名
鈎	钩	keu1	
鉤	钩	keu1	
篝	篝	keu1	
溝	沟	keu1	
䐟	䐟	keu1	
購	购	keu1	
構	构	keu1	
搆	构	keu1	
媾	媾	keu1	
褠	褠	keu1	
鞲	鞲	keu1	
佝	佝	keu1	
垢	垢	keu1	
緱	缑	keu1	
軥	軥	keu1	
狗	狗	keu3	
枸	枸	keu3	
苟	苟	keu3	
耉	耉	keu3	
笱	笱	keu3	
岣	岣	keu3	
玽	玽	keu3	
耇	耇	keu3	
茩	茩	keu3	
豿	豿	keu3	
冓	冓	keu5	
遘	遘	keu5	一遘晝
傋	傋	keu5	
覯	觏	keu5	
煹	煹	keu5	
姤	姤	keu5	
詬	诟	keu5	
彀	彀	keu5	
勾	勾	keu5	勾當
夠	够	keu5	
够	够	keu5	
雊	雊	keu5	
䝭	𫎧	keu5	
怐	怐	keu5	
軥	軥	keu5	
彄	彄	kheu1	
芤	芤	kheu1	
剾	𠛅	kheu1	
滱	滱	kheu1	
口	口	kheu3	
㸸	㸸	kheu3	
竘	竘	kheu3	
摳	抠	kheu5	
叩	叩	kheu5	
敂	叩	kheu5	
扣	扣	kheu5	
釦	扣	kheu5	
𧥣	𬣚	kheu5	事先與人說定
筘	筘	kheu5	
寇	寇	kheu5	
宼	寇	kheu5	
蔻	蔻	kheu5	
簆	簆	kheu5	
鷇	鷇	kheu5	
瞉	瞉	kheu5	
怐	怐	kheu5	
滱	滱	kheu5	
𧺤	𧺤	geu6	
跔	跔	geu6	
痀	痀	geu6	
牛	牛	ngeu2	
耦	耦	ngeu6	
藕	藕	ngeu6	
偶	偶	ngeu6	
蕅	蕅	ngeu6	
𩥋	𩥋	ngeu6	
吼	吼	heu1	急迫；着急
齁	齁	heu1	
呴	呴	heu1	
吽	吽	heu1	吆喝牛行走的聲音
𤘽	𤘽	heu3	
吽	吽	heu3	
吼	吼	heu3	
㸸	㸸	heu3	
蚼	蚼	heu3	
鱟	鲎	heu5	
煦	煦	heu5	
蔲	蔲	heu5	
佝	佝	heu5	佝背
豞	豞	heu5	
怐	怐	heu5	
訽	訽	heu5	
侯	侯	gheu2	
喉	喉	gheu2	
猴	猴	gheu2	
䞀	䞀	gheu2	
糇	糇	gheu2	
餱	糇	gheu2	
篌	篌	gheu2	
鯸	鯸	gheu2	
瘊	瘊	gheu2	
睺	睺	gheu2	
帿	帿	gheu2	
矦	矦	gheu2	
翭	翭	gheu2	
葔	葔	gheu2	
骺	骺	gheu2	
銗	銗	gheu2	
哎	哎	gheu2	
鄇	鄇	gheu2	
鍭	鍭	gheu2	
厚	厚	gheu6	
後	后	gheu6	
后	后	gheu6	
㖃	㖃	gheu6	形容哭得很響、很傷心的聲音
垕	垕	gheu6	
郈	郈	gheu6	
逅	逅	gheu6	
鮜	鲘	gheu6	
候	候	gheu6	
堠	堠	gheu6	
歐	欧	eu1	
甌	瓯	eu1	
嘔	呕	eu1	
區	区	eu1	姓
漚	沤	eu1	
毆	殴	eu1	
謳	讴	eu1	
鷗	鸥	eu1	
鴎	鸥	eu1	
饇	饇	eu1	
瞘	眍	eu1	
䁱	眍	eu1	
櫙	櫙	eu1	
膒	膒	eu1	
鏂	鏂	eu1	
哎	哎	eu1	嘆詞，用於招呼及應答，應答時，有時讀成[œʏ˥˧]
鴉	鸦	eu1	又音 僅限於「老鴉」
鵶	鸦	eu1	又音 僅限於「老鴉」
剾	𠛅	eu1	
蓲	蓲	eu1	
醧	醧	eu1	
嘔	呕	eu3	
塸	塸	eu3	
㸸	㸸	eu3	
敺	敺	eu3	
傴	伛	eu5	
慪	怄	eu5	
浜	浜	pan1	
繃	绷	pan1	名詞
綳	绷	pan1	名詞
伻	伻	pan1	
𢆸	𢆸	pan1	
嗙	嗙	pan1	
祊	祊	pan1	
閍	𨸂	pan1	
絣	絣	pan1	
伯	伯	pan1	兒化殘留
騯	騯	pan1	
捠	捠	pan1	
氆	氆	pan3	
繃	绷	pan5	動詞
綳	绷	pan5	動詞
跰	跰	pan5	
乓	乓	phan1	
烹	烹	phan1	
胓	胓	phan1	胓㠮
抨	抨	phan1	
怦	怦	phan1	
泙	泙	phan1	
漰	漰	phan1	
恲	恲	phan1	
匉	匉	phan1	
閛	閛	phan1	
弸	弸	phan1	
剻	剻	phan3	
碰	碰	phan5	碰杯
踫	碰	phan5	碰杯
掽	碰	phan5	碰杯
椪	椪	phan5	
棚	棚	ban2	
膨	膨	ban2	
𦗭	𦗭	ban2	聾𦗭
彭	彭	ban2	
𥕱	𥕱	ban2	
嘭	嘭	ban2	
朋	朋	ban2	
鵬	鹏	ban2	
趽	趽	ban2	矮趽狗
憉	憉	ban2	
輣	輣	ban2	
庄	庄	ban2	
倗	倗	ban2	
堋	堋	ban2	
篣	篣	ban2	
騯	騯	ban2	
弸	弸	ban2	
蚌	蚌	ban6	
䰷	䰷	ban6	
蟛	蟛	ban6	蟛蟲
蟚	蟚	ban6	同「蟛」
鮩	鮩	ban6	
傡	傡	ban6	
蠯	蠯	ban6	
甏	甏	ban6	
碰	碰	ban6	碰着
踫	碰	ban6	碰着
掽	碰	ban6	碰着
𦝤	𦝤	ban6	
湴	湴	ban6	
倗	倗	ban6	
盲	盲	man2	僅限於「青盲瞎」
莔	莔	man2	
鄳	𫑡	man2	
嫇	嫇	man2	
蕄	蕄	man2	
蜢	蜢	man6	
艋	艋	man6	
猛	猛	man6	
錳	锰	man6	化學元素
勐	勐	man6	
虻	虻	man6	僅限於「黃虻」
蝱	虻	man6	僅限於「黃虻」
鄳	𫑡	man6	
鱦	鱦	man6	
孟	孟	man6	
櫻	樱	man6	僅限於「金櫻」 聲母受前字韻尾同化變爲[m]
朚	朚	man6	
𩜠	𩜠	mhan1	
𩛎	𩛎	mhan1	
飯	飯	mhan1	飯飯 兒童用語
孟	孟	mhan1	僅限於「長孟孟」
打	打	tan3	
帶	带	tan3	又音 僅限於「對帶」
帯	带	tan3	又音 僅限於「對帶」
宕	宕	than5	僅限於「軟宕宕」
他	他	than5	僅限於「慢他他」
鐋	铴	than5	鐋鑼
宕	宕	dan6	
趤	趤	dan6	逛；散游
冷	冷	lan6	
拉	拉	lhan5	僅限於「拉打」
爭	争	tsan1	白讀
睜	睁	tsan1	白讀
撑	撑	tsan1	又音
撐	撑	tsan1	又音
埩	埩	tsan1	
綪	綪	tsan1	
朾	朾	tsan1	
掙	挣	tsan5	白讀 掙家計
㬹	㬹	tsan5	手肘或腳踝。《集韻》甾莖切，足筋。各詞典均註爲去聲。但該字不單說，詞中也難以確定單字調。
踭	踭	tsan5	同「㬹」。
棦	棦	tsan5	
柼	柼	tsan5	
撑	撑	tshan1	
撐	撑	tshan1	
牚	牚	tshan1	
𣛟	𣛟	tshan1	
橕	橕	tshan1	
鐺	铛	tshan1	古代一種有腳的鍋
樘	樘	tshan1	
竀	竀	tshan1	
撑	撑	tshan5	形容詞。厲害，棒
撐	撑	tshan5	形容詞。厲害，棒
棖	枨	dzan2	
挰	挰	dzan2	
掁	掁	dzan2	
揨	揨	dzan2	
憕	憕	dzan2	
朾	朾	dzan2	
虰	虰	dzan2	
埩	埩	dzan2	
崝	崝	dzan2	
鬇	鬇	dzan2	
鋥	锃	dzan6	
瑒	玚	dzan6	
䂻	䂻	dzan6	䂻狗洞
瞠	瞠	dzan6	
盛	盛	dzan6	姓
生	生	san1	白讀
甥	甥	san1	
牲	牲	san1	
狌	狌	san1	
鼪	鼪	san1	
省	省	san3	
𤯡	𤯡	san5	竹木上極細小的芒刺
貹	貹	san5	
鼪	鼪	san5	
庚	庚	kan1	
粳	粳	kan1	
秔	粳	kan1	
稉	粳	kan1	
更	更	kan1	五更
埂	埂	kan1	
浭	浭	kan1	
羹	羹	kan1	
耕	耕	kan1	
畊	耕	kan1	
梗	梗	kan3	量詞
郠	郠	kan3	
梗	梗	kan5	作梗
䢚	䢚	kan5	黃鱔䢚洞
耿	耿	kan5	
筻	筻	kan5	
坑	坑	khan1	
劥	劥	khan1	
摼	摼	khan1	
硻	硻	khan1	
銵	銵	khan1	
砊	砊	khan1	
揞	揞	khan5	又音 揞掉
鯁	鲠	gan6	
骾	鲠	gan6	
俓	𠇹	ngan2	
娙	娙	ngan2	
硬	硬	ngan6	
鞕	鞕	ngan6	
亨	亨	han1	
哼	哼	han1	
悙	悙	han1	
脝	脝	han1	
夯	夯	han5	
行	行	ghan2	行李
桁	桁	ghan2	
洐	洐	ghan2	
胻	胻	ghan2	
杏	杏	ghan6	
莕	莕	ghan6	
胻	胻	ghan6	
阿	阿	an1	阿姆
櫻	樱	an1	白讀 櫻桃
桜	樱	an1	白讀 櫻桃
鸚	鹦	an1	
嗯	嗯	an1	
㿮	㿮	an1	
㹙	㹙	an3	牛犢
揞	揞	an5	揞掉
良	良	lian2	
凉	凉	lian2	
涼	凉	lian2	
諒	谅	lian2	
椋	椋	lian2	
綡	𫟅	lian2	
輬	辌	lian2	
梁	梁	lian2	
樑	梁	lian2	
粱	粱	lian2	
墚	墚	lian2	
簗	簗	lian2	日語漢字，音同「梁」
量	量	lian2	
糧	粮	lian2	
粮	粮	lian2	
魎	魉	lian2	
兩	两	lian6	
両	两	lian6	
倆	俩	lian6	
裲	裲	lian6	
䠃	䠃	lian6	
掚	𪭵	lian6	
脼	脼	lian6	
蜽	蜽	lian6	
緉	緉	lian6	
輛	辆	lian6	
輌	辆	lian6	
亮	亮	lian6	
喨	喨	lian6	
晾	晾	lian6	
㾗	㾗	lian6	
悢	悢	lian6	
張	张	cian1	
粻	粻	cian1	
餦	𫗠	cian1	
將	将	cian1	將來
漿	浆	cian1	
螿	螀	cian1	
摪	摪	cian1	
鱂	鳉	cian1	
姜	姜	cian1	
畺	畺	cian1	
薑	姜	cian1	
僵	僵	cian1	
殭	僵	cian1	
疆	疆	cian1	
繮	缰	cian1	
韁	缰	cian1	
壃	壃	cian1	
橿	橿	cian1	
畕	畕	cian1	
礓	礓	cian1	
絳	绛	cian1	
糨	糨	cian1	
雀	雀	cian3	兒化殘留
蔣	蒋	cian3	
奬	奖	cian3	
獎	奖	cian3	
奨	奖	cian3	
長	长	cian3	長輩
漲	涨	cian3	
槳	桨	cian3	
䒂	䒂	cian3	
脚	脚	cian3	兒化殘留
腳	脚	cian3	兒化殘留
繈	𫄶	cian3	
膙	膙	cian3	
憼	憼	cian3	
脹	胀	cian5	
帳	帐	cian5	
賬	账	cian5	
痮	𪽪	cian5	
𥇔	𥇔	cian5	
醬	酱	cian5	
醤	酱	cian5	
䶓	䶓	cian5	䶓箜籃
縩	縩	cian5	縩孔籃
仗	仗	cian5	打仗
借	借	cian5	又音 僅限於「借米聾」
槍	枪	chian1	
鎗	枪	chian1	
嗆	呛	chian1	僅限於「嗆拍」
瑲	玱	chian1	
牄	牄	chian1	
篬	篬	chian1	
謒	謒	chian1	
昶	昶	chian1	一段時間
倀	伥	chian1	
鼚	鼚	chian1	
蹌	跄	chian1	
鏘	锵	chian1	
嶈	𡺃	chian1	
斨	斨	chian1	
錆	锖	chian1	
蹡	蹡	chian1	
腔	腔	chian1	
羌	羌	chian1	
羗	羌	chian1	
蜣	蜣	chian1	
𪁸	𪁸	chian1	
猐	猐	chian1	
椌	椌	chian1	
羫	羫	chian1	
敞	敞	chian3	
廠	厂	chian3	
氅	氅	chian3	
𪁺	𪁺	chian3	
僘	僘	chian3	
搶	抢	chian3	
鋹	鋹	chian3	
昶	昶	chian3	
摤	摤	chian3	
羥	羟	chian3	化學用字
强	强	chian3	強迫
強	强	chian3	強迫
彊	强	chian3	強迫
襁	襁	chian3	
繦	襁	chian3	
鏹	镪	chian3	
悵	怅	chian5	
韔	韔	chian5	
暢	畅	chian5	
畼	𪽈	chian5	
嗆	呛	chian5	
熗	炝	chian5	
愴	怆	chian5	
𪉨	𪉨	chian5	𪉨蟹
蹡	蹡	chian5	
唴	唴	chian5	
羻	羻	chian5	
腸	肠	jian2	
祥	祥	jian2	
詳	详	jian2	
翔	翔	jian2	
長	长	jian2	長短
䗅	𫊪	jian2	
萇	苌	jian2	
場	场	jian2	
塲	场	jian2	
戕	戕	jian2	
庠	庠	jian2	
薔	蔷	jian2	
瓺	瓺	jian2	
强	强	jian2	
強	强	jian2	
彊	强	jian2	
𠼢	𠼢	jian2	
勥	勥	jian2	
象	象	jian6	僅用於地名「象山」
丈	丈	jian6	
杖	杖	jian6	
張	张	jian6	量詞
滰	滰	jian6	洗
犟	犟	jian6	
弜	弜	jian6	
蔃	蔃	jian6	
勥	勥	jian6	
誩	誩	jian6	
場	场	jian6	
塲	场	jian6	
仗	仗	jian6	
瓺	瓺	jian6	
弶	弶	jian6	
娘	娘	gnian2	
孃	娘	gnian2	
嬢	娘	gnian2	
瓤	瓤	gnian2	
穰	穰	gnian2	
穣	穰	gnian2	
儴	儴	gnian2	
勷	勷	gnian2	
獽	獽	gnian2	
蘘	蘘	gnian2	
瀼	瀼	gnian2	
嚷	嚷	gnian2	
央	央	gnian2	僅限於表「當中」義的數詞
梁	梁	gnian2	鼻頭梁
樑	梁	gnian2	鼻頭樑
喵	喵	gnian2	喵嗚貓
躟	躟	gnian2	
鬤	鬤	gnian2	
仰	仰	gnian6	
壤	壤	gnian6	地壤
壌	壤	gnian6	
躟	躟	gnian6	
釀	酿	gnian6	
醸	酿	gnian6	
讓	让	gnian6	
譲	让	gnian6	
𥽬	𥽬	gnian6	冷飯𥽬
懹	懹	gnian6	
亮	亮	gnian6	天亮 當清晨講，聲母特殊
樣	样	gnian6	又音 僅限於「別樣」
様	样	gnian6	又音 僅限於「別樣」
喵	喵	knian1	喵嗚貓
商	商	shian1	白讀
相	相	shian1	相信
湘	湘	shian1	
厢	厢	shian1	
廂	厢	shian1	
箱	箱	shian1	
葙	葙	shian1	
緗	缃	shian1	
襄	襄	shian1	
鑲	镶	shian1	
瓖	瓖	shian1	
驤	骧	shian1	
欀	欀	shian1	
蠰	蠰	shian1	
忀	忀	shian1	
纕	纕	shian1	
香	香	shian1	
鄉	乡	shian1	
郷	乡	shian1	
薌	芗	shian1	
膷	膷	shian1	
皀	皀	shian1	
想	想	shian3	
鯗	鲞	shian3	
鮝	鲞	shian3	
響	响	shian3	
餉	饷	shian3	
饟	饷	shian3	
蠁	蚃	shian3	
饗	飨	shian3	
𥿧	𥿧	shian3	
享	享	shian3	
亯	享	shian3	
相	相	shian5	相貌
向	向	shian5	
曏	向	shian5	
嚮	向	shian5	
萫	萫	shian5	
珦	珦	shian5	
牆	墙	zhian2	
墻	墙	zhian2	
嬙	嫱	zhian2	
檣	樯	zhian2	
艢	樯	zhian2	
廧	𪪞	zhian2	
蘠	蘠	zhian2	
禳	禳	zhian2	
攘	攘	zhian2	
象	象	zhian6	
橡	橡	zhian6	
像	像	zhian6	
蟓	蟓	zhian6	
嶑	嶑	zhian6	
襐	襐	zhian6	
鱌	鱌	zhian6	
𥗝	𥗝	zhian6	
勨	勨	zhian6	
潒	潒	zhian6	
匠	匠	zhian6	
羊	羊	yan2	
垟	垟	yan2	
洋	洋	yan2	
烊	烊	yan2	
佯	佯	yan2	
徉	徉	yan2	
𦭵	𦭵	yan2	
蛘	蛘	yan2	
鴹	鴹	yan2	
瘍	疡	yan2	
昜	昜	yan2	古同「陽」
陽	阳	yan2	
楊	杨	yan2	
揚	扬	yan2	
颺	扬	yan2	
敭	扬	yan2	
暘	旸	yan2	
𩋬	𩋬	yan2	
鰑	𫚊	yan2	
輰	輰	yan2	
鍚	钖	yan2	
鸉	鸉	yan2	
崵	崵	yan2	
瑒	玚	yan2	
眻	眻	yan2	
禓	禓	yan2	
諹	諹	yan2	
癢	痒	yan6	
養	养	yan6	僅限於「養生新婦」、「養生」兩詞
䑆	䑆	yan6	惡心䑆䑆
氧	氧	yan6	化學元素
懩	懩	yan6	
婸	婸	yan6	
勨	勨	yan6	
蝆	蝆	yan6	
瀁	瀁	yan6	液體晃動外溢
樣	样	yan6	
様	样	yan6	
漾	漾	yan6	
羕	羕	yan6	
恙	恙	yan6	
煬	烊	yan6	
烊	烊	yan6	
眻	眻	yan6	
諹	諹	yan6	
央	央	ian1	
秧	秧	ian1	
殃	殃	ian1	
映	映	ian1	僅限於「放映」
泱	泱	ian1	
鴦	鸯	ian1	
鞅	鞅	ian1	
㹧	㹧	ian1	
陽	陽	ian1	僅限於「陽溝」一詞
胦	胦	ian1	
鉠	𫓭	ian1	
養	养	ian3	
岟	岟	ian3	
柍	柍	ian3	
炴	炴	ian3	
紻	紻	ian3	
駚	𩧫	ian3	
怏	怏	ian5	
詇	詇	ian5	
挭	挭	kuan1	
梗	梗	kuan3	量詞
光	光	kuan5	僅限於「光火」
怪	怪	kuan5	僅限於「怪清」
恠	怪	kuan5	僅限於「怪清」
寡	寡	kuan5	僅限於「清湯寡水」
梗	梗	guan6	僅限於擬聲詞
趪	趪	guan6	形容走路很快聲音很響的樣子
甩	甩	huan5	甩出算賬
橫	横	wan2	橫豎
撗	撗	wan2	
橫	横	wan6	打橫
橫	横	uan1	僅限於「橫至至」
謗	谤	paon1	
鎊	镑	paon1	
泵	泵	paon1	
邦	邦	paon1	
幫	帮	paon1	
幇	幇	paon1	古同「幫」
幚	幚	paon1	古同「幫」
鞤	鞤	paon1	古同「幫」
梆	梆	paon1	
𨢐	𨢐	paon1	
𧤞	𧤞	paon1	
垹	垹	paon1	
縍	𫄰	paon1	
綁	绑	paon3	
榜	榜	paon3	
牓	榜	paon3	
膀	膀	paon3	
仿	仿	paon3	僅限於「同年相仿」
磅	磅	paon5	磅秤
搒	搒	paon5	
䏾	䏾	phaon1	
霶	霶	phaon1	
胮	胮	phaon1	
耪	耪	phaon3	
胖	胖	phaon5	
肨	肨	phaon5	
髈	髈	phaon5	蹄髈
膀	膀	phaon5	手膀
旁	旁	baon2	
螃	螃	baon2	
滂	滂	baon2	
膀	膀	baon2	
磅	磅	baon2	磅礴
蒡	蒡	baon2	
䅭	䅭	baon2	
鰟	鳑	baon2	
䠙	䠙	baon2	
龐	庞	baon2	
防	防	baon2	白讀
彷	彷	baon2	
雱	雱	baon2	
𤧭	𤧭	baon2	
房	房	baon2	阿房
舽	舽	baon2	
逄	逄	baon2	
篣	篣	baon2	
騯	騯	baon2	
胮	胮	baon2	
棒	棒	baon6	
玤	玤	baon6	
蜯	蜯	baon6	
傍	傍	baon6	
𢄎	𢄎	baon6	
徬	彷	baon6	
忙	忙	maon2	
芒	芒	maon2	
虻	虻	maon2	
蝱	虻	maon2	
氓	氓	maon2	
茫	茫	maon2	
邙	邙	maon2	
鋩	铓	maon2	
厖	厖	maon2	
哤	哤	maon2	
娏	娏	maon2	
尨	尨	maon2	
浝	浝	maon2	
牻	牻	maon2	
狵	狵	maon2	
痝	痝	maon2	
蛖	蛖	maon2	
駹	駹	maon2	
盲	盲	maon2	
蒙	蒙	maon2	又音
恾	恾	maon2	
蘉	蘉	maon2	
吂	吂	maon2	
朚	朚	maon2	
杗	杗	maon2	
汒	汒	maon2	
莽	莽	maon6	
蟒	蟒	maon6	
漭	漭	maon6	
網	网	maon6	白讀
网	网	maon6	白讀
壾	壾	maon6	
茻	茻	maon6	
蠎	蠎	maon6	
夢	梦	maon6	
忘	忘	maon6	白讀
妄	妄	maon6	白讀
望	望	maon6	白讀
朢	望	maon6	白讀
懵	懵	maon6	又音
𥁃	𥁃	maon6	
吂	吂	maon6	
匚	匚	faon1	
方	方	faon1	
芳	芳	faon1	
肪	肪	faon1	
枋	枋	faon1	
坊	坊	faon1	
鈁	钫	faon1	化學元素
邡	邡	faon1	
淓	淓	faon1	
汸	汸	faon1	
牥	牥	faon1	
蚄	蚄	faon1	
鴋	鴋	faon1	
舫	舫	faon3	
仿	仿	faon3	
倣	仿	faon3	
彷	仿	faon3	
髣	仿	faon3	
昉	昉	faon3	
紡	纺	faon3	
訪	访	faon3	
鶭	𫛯	faon3	
瓬	瓬	faon3	
放	放	faon5	
妨	妨	faon5	
房	房	vaon2	
防	防	vaon2	文讀
魴	鲂	vaon2	
硭	硭	vaon2	
莣	莣	vaon2	
鴋	鴋	vaon2	
朚	朚	vaon2	
杗	杗	vaon2	
罔	罔	vaon6	
惘	惘	vaon6	
輞	辋	vaon6	
魍	魍	vaon6	
菵	菵	vaon6	
棢	棢	vaon6	
蛧	蛧	vaon6	
誷	𫍬	vaon6	
望	望	vaon6	白讀
朢	望	vaon6	文讀
亡	亡	vaon6	
亾	亡	vaon6	
忘	忘	vaon6	文讀
妄	妄	vaon6	文讀
汒	汒	vaon6	
當	当	taon1	
噹	当	taon1	
襠	裆	taon1	
璫	珰	taon1	
鐺	铛	taon1	
簹	筜	taon1	
蟷	蟷	taon1	
儅	儅	taon1	
黨	党	taon3	
党	党	taon3	
讜	谠	taon3	
擋	挡	taon3	
欓	𣗋	taon3	
灙	𣺼	taon3	
瓽	瓽	taon3	
當	当	taon5	當店
擋	挡	taon5	扶
攩	挡	taon5	
檔	档	taon5	
礑	礑	taon5	
譡	譡	taon5	
闣	闣	taon5	
瓽	瓽	taon5	
淌	淌	thaon1	
湯	汤	thaon1	
蝪	蝪	thaon1	
趟	趟	thaon1	
蹚	趟	thaon1	
鞺	鞺	thaon1	
羰	羰	thaon1	化學用字
薚	薚	thaon1	
鼞	鼞	thaon1	
簜	簜	thaon1	
踼	踼	thaon1	
闛	闛	thaon1	
噧	噧	thaon1	
倘	倘	thaon3	
躺	躺	thaon3	
儻	傥	thaon3	
帑	帑	thaon3	
𨧩	𨧩	thaon3	
偒	偒	thaon3	
戃	戃	thaon3	
曭	曭	thaon3	
爣	爣	thaon3	
矘	矘	thaon3	
踼	踼	thaon3	
䠀	䠀	thaon5	踉䠀
燙	烫	thaon5	
摥	𫼟	thaon5	在長竿上繫網兜或竹器，用它在河底推拉以撮取螺螄
耥	耥	thaon5	耥螄螺
套	套	thaon5	又音 僅限於「套套」
唐	唐	daon2	
糖	糖	daon2	
餹	糖	daon2	
醣	糖	daon2	
塘	塘	daon2	
𠗶	𠗶	daon2	
溏	溏	daon2	
搪	搪	daon2	
螗	螗	daon2	
鎕	鎕	daon2	
篖	篖	daon2	
𩥁	𩥁	daon2	
赯	赯	daon2	
煻	煻	daon2	
凙	𪞝	daon2	
棠	棠	daon2	
堂	堂	daon2	
螳	螳	daon2	
鏜	镗	daon2	
膛	膛	daon2	
摚	摚	daon2	
傏	傏	daon2	
啺	啺	daon2	
坣	坣	daon2	
榶	榶	daon2	
橖	橖	daon2	
瑭	瑭	daon2	
磄	磄	daon2	
糛	糛	daon2	
蓎	蓎	daon2	
隚	隚	daon2	
鶶	鶶	daon2	
樘	樘	daon2	
踼	踼	daon2	
闛	闛	daon2	
蕩	荡	daon6	
盪	荡	daon6	
愓	愓	daon6	
璗	璗	daon6	
崵	崵	daon6	
嵣	嵣	daon6	
潒	潒	daon6	
簜	簜	daon6	
碭	砀	daon6	
𥸈	𥸈	daon6	
宕	宕	daon6	
趤	趤	daon6	𧻴趤公子
菪	菪	daon6	
凼	凼	daon6	
逿	逿	daon6	
踼	踼	daon6	
攮	攮	naon2	
囔	囔	naon2	
饢	馕	naon2	
郎	郎	naon2	又音 僅限於「嘸郎」
囊	囊	naon6	
曩	曩	naon6	
灢	灢	naon6	
儾	儾	naon6	儾頭
郎	郎	laon2	
郞	郎	laon2	
廊	廊	laon2	
榔	榔	laon2	
螂	螂	laon2	
蜋	螂	laon2	
蓈	蓈	laon2	
啷	啷	laon2	
㝗	㝗	laon2	
盝	盝	laon2	殼盝，兒化變音
鋃	锒	laon2	
琅	琅	laon2	
瑯	琅	laon2	
朗	朗	laon2	
朤	朤	laon2	
踉	踉	laon2	踉䠀
稂	稂	laon2	
莨	莨	laon2	
筤	筤	laon2	
躴	躴	laon2	
桹	桹	laon2	
欴	欴	laon2	
硠	硠	laon2	
艆	艆	laon2	
鎯	𨱍	laon2	
駺	駺	laon2	
螺	螺	laon2	僅限於「搣陀螺」
落	落	laon2	僅限於「打蓮花落」
俍	俍	laon6	
崀	崀	laon6	
朖	朖	laon6	
浪	浪	laon6	
狼	狼	laon6	
㫰	㫰	laon6	㫰衣裳
𧻴	𧻴	laon6	𧻴趤公子
閬	阆	laon6	
蒗	蒗	laon6	
埌	埌	laon6	
哴	哴	lhaon5	
誏	誏	lhaon5	誏話
妝	妆	tsaon1	
粧	妆	tsaon1	
莊	庄	tsaon1	
荘	庄	tsaon1	
裝	装	tsaon1	
臧	臧	tsaon1	
髒	脏	tsaon1	
贜	赃	tsaon1	
贓	赃	tsaon1	
𢈜	𢈜	tsaon1	
匨	匨	tsaon1	
顙	顙	tsaon1	又音 䱀顙魚
章	章	tsaon1	
樟	樟	tsaon1	
蟑	蟑	tsaon1	
彰	彰	tsaon1	
障	障	tsaon1	
瘴	瘴	tsaon1	
嶂	嶂	tsaon1	
幛	幛	tsaon1	
獐	獐	tsaon1	
麞	獐	tsaon1	
慞	慞	tsaon1	
鱆	𫠒	tsaon1	
蔁	蔁	tsaon1	
騿	騿	tsaon1	
𩌬	𩌬	tsaon1	
𪅂	𫜂	tsaon1	
漳	漳	tsaon1	
璋	璋	tsaon1	
嫜	嫜	tsaon1	
樁	桩	tsaon1	
暲	暲	tsaon1	
鄣	鄣	tsaon1	
墇	墇	tsaon1	
掌	掌	tsaon3	
仉	仉	tsaon3	
葬	葬	tsaon5	
塟	葬	tsaon5	
𨌄	𨌄	tsaon5	
𣴣	𣴣	tsaon5	
𤞛	𤞛	tsaon5	
焋	焋	tsaon5	
壯	壮	tsaon5	
奘	奘	tsaon5	
瞕	瞕	tsaon5	
墇	墇	tsaon5	
瘡	疮	tshaon1	
倉	仓	tshaon1	
蒼	苍	tshaon1	
滄	沧	tshaon1	
艙	舱	tshaon1	
䱽	䲝	tshaon1	
鶬	鸧	tshaon1	
傖	伧	tshaon1	
凔	凔	tshaon1	
昌	昌	tshaon1	
菖	菖	tshaon1	
倡	倡	tshaon1	
猖	猖	tshaon1	
鯧	鲳	tshaon1	文讀
閶	阊	tshaon1	
淐	淐	tshaon1	
琩	琩	tshaon1	
裮	裮	tshaon1	
錩	锠	tshaon1	
椙	椙	tshaon1	日語漢字，音同「昌」
窗	窗	tshaon1	
牎	窗	tshaon1	
牕	窗	tshaon1	
