繁體	简体	吳拼	備注
刁	刁	tiau1	
貂	貂	tiau1	
雕	雕	tiau1	
挑	挑	thiau1	
𠛪	𠛪	thiau1	把肉中的刺等剔出來，~刺
焦	焦	ciau1	
蕉	蕉	ciau1	
椒	椒	ciau1	
朝	朝	ciau1	今~，今天
昭	昭	ciau1	
招	招	ciau1	
驕	骄	ciau1	
沼	沼	ciau1	
嬌	娇	ciau1	
澆	浇	ciau1	
交	交	ciau1	
郊	郊	ciau1	
膠	胶	ciau1	
教	教	ciau1	
超	超	chiau1	
敲	敲	chiau1	
𣖄	𣖄	chiau1	盛飯勺兒，飯~
鍬	锹	chiau1	鐵~
繰	缲	chiau1	~邊，做衣服邊兒
撬	撬	chiau1	用工具把封閉的物件打開
消	消	shiau1	
宵	宵	shiau1	
霄	霄	shiau1	
銷	销	shiau1	
燒	烧	shiau1	
枵	枵	shiau1	
囂	嚣	shiau1	
蕭	萧	shiau1	
簫	箫	shiau1	
𢳚	𢳚	shiau1	掀：~蓋頭（把蓋子打開）
硝	硝	shiau1	
妖	妖	iau1	
邀	邀	iau1	
要	要	iau1	~求
腰	腰	iau1	
吆	吆	iau1	~喝
僥	侥	iau1	~倖
幺	幺	iau1	~二三
嫖	嫖	biau2	
瓢	瓢	biau2	
苗	苗	miau2	
描	描	miau2	
瞄	瞄	miau2	
條	条	diau2	
調	调	diau2	~和
鰷	鲦	diau2	白~魚，魚名
燎	燎	liau2	
療	疗	liau2	
聊	聊	liau2	
遼	遼	liau2	
寥	寥	liau2	
瞭	瞭	liau2	
撩	撩	liau2	
尥	尥	liau2	向遠處撈物。同撩
喬	乔	jiau2	
橋	桥	jiau2	
蕎	荞	jiau2	
僑	侨	jiau2	
朝	朝	jiau2	~代
潮	潮	jiau2	
藠	藠	jiau2	~頭。形似蒜頭的野生植物，可鹽制而食
嘲	嘲	jiau2	~笑，譏笑
饒	饶	gniau2	
繞	绕	gniau2	
堯	尧	gniau2	
擾	扰	zhiau2	
韶	韶	zhiau2	
紹	绍	zhiau2	
餚	肴	yau2	
淆	淆	yau2	
搖	摇	yau2	
謠	谣	yau2	
窯	窑	yau2	
窰	窑	yau2	
姚	姚	yau2	
表	表	piau3	
漂	漂	phiau3	~一~
鳥	鸟	tiau3	
挑	挑	thiau3	~出來
䠷	䠷	thiau3	出~，活躍出衆
矯	矫	ciau3	
繳	缴	ciau3	
絞	绞	ciau3	
狡	狡	ciau3	
剿	剿	ciau3	
沼	沼	ciau3	~氣
巧	巧	chiau3	
悄	悄	chiau3	
蹺	跷	chiau3	
小	小	shiau3	
曉	晓	shiau3	
少	少	shiau3	
舀	舀	iau3	~水
杳	杳	iau3	~無音信
鰾	鰾	biau4	
渺	渺	miau4	
藐	藐	miau4	
秒	秒	miau4	
眇	眇	miau4	
䩍	䩍	liau4	臉色蒼白：其面孔~白
趙	赵	jiau4	
繞	绕	gniau4	~牢，~住
鳥	鸟	gniau4	①鳥類②船架豎柱、底橫樑名稱
票	票	phiau5	
漂	漂	phiau5	~洗
釣	钓	tiau5	
吊	吊	tiau5	
窵	窎	tiau5	路遠、偏僻：~角，偏僻的角落
跳	跳	thiau5	
糶	粜	thiau5	~米，賣米
佻	佻	thiau5	輕~，輕浮
趒	趒	thiau5	~板，船靠岸時擱到碼頭上的長板
照	照	ciau5	
昭	昭	ciau5	
詔	诏	ciau5	
叫	叫	ciau5	
窖	窖	ciau5	
較	较	ciau5	
校	校	ciau5	~對
餃	饺	ciau5	~子
礁	礁	ciau5	
瞧	瞧	ciau5	
俏	俏	chiau5	~麗，俊俏美麗
竅	窍	chiau5	
笑	笑	shiau5	
孝	孝	shiau5	
酵	酵	shiau5	發~
鞘	鞘	shiau5	刀~
要	要	iau5	重~
廟	庙	miau6	
繆	缪	miau6	姓
妙	妙	miau6	
掉	掉	diau6	
調	调	diau6	~動
料	料	liau6	
撩	撩	liau6	撈：~起來，撈起來
廖	廖	liau6	姓
轎	轿	jiau6	
召	召	zhiau6	號~
邵	邵	zhiau6	姓
兆	兆	zhiau6	
