繁體	简体	吳拼	備注
賢	贤	yi2	
弦	弦	yi2	
沿	沿	yi2	
鉛	铅	yi2	鉛山，江西地名
易	易	yi6	
肄	肄	yi6	肄業
矣	矣	yi6	
已	已	yi6	
以	以	yi6	又音
異	异	yi6	
豔	艳	yi6	
艷	艳	yi6	
焰	焰	yi6	
鹽	盐	yi6	醃
諺	谚	yi6	
演	演	yi6	
現	现	yi6	
兗	兖	yi6	
伊	伊	i1	
醫	医	i1	
衣	衣	i1	
依	依	i1	
淹	淹	i1	
閹	阉	i1	
醃	腌	i1	
嫌	嫌	i1	
蔫	蔫	i1	食物不新鮮
煙	烟	i1	
菸	烟	i1	
憶	忆	i1	
億	亿	i1	
倚	倚	i3	
以	以	i3	
掩	掩	i3	
意	意	i5	
厭	厌	i5	
豔	艳	i5	又音
艷	艳	i5	又音
雁	雁	i5	文讀
堰	堰	i5	
燕	燕	i5	
咽	咽	i5	
嚥	咽	i5	
宴	宴	i5	
補	补	pu3	
布	布	pu5	
佈	佈	pu5	
怖	怖	pu5	
鋪	铺	phu1	鋪設
譜	谱	phu3	
普	普	phu3	
浦	浦	phu3	
鋪	铺	phu5	店鋪
蒲	蒲	bu2	
菩	菩	bu2	
脯	脯	bu2	胸脯
脯	脯	bu2	杏脯
孵	孵	bu2	孵小雞
部	部	bu6	
簿	簿	bu6	
步	步	bu6	
捕	捕	bu6	
埠	埠	bu6	
呼	呼	fu1	
夫	夫	fu1	
膚	肤	fu1	
敷	敷	fu1	
俘	俘	fu1	
麩	麸	fu1	
虎	虎	fu3	
滸	浒	fu3	水滸
府	府	fu3	
腑	腑	fu3	
甫	甫	fu3	
斧	斧	fu3	
殕	殕	fu3	食上生白毛，如：白殕冬瓜
釜	釜	fu3	
輔	辅	fu3	又音
戽	戽	fu5	戽水
付	付	fu5	
賦	赋	fu5	
傅	傅	fu5	
赴	赴	fu5	
訃	讣	fu5	
富	富	fu5	
副	副	fu5	
阜	阜	fu5	
吳	吴	vu2	文讀
蜈	蜈	vu2	蜈蚣，文讀
吾	吾	vu2	
梧	梧	vu2	梧桐
胡	胡	vu2	
湖	湖	vu2	
狐	狐	vu2	
壺	壶	vu2	
乎	乎	vu2	
葫	葫	vu2	葫蘆
符	符	vu2	
扶	扶	vu2	
芙	芙	vu2	
浮	浮	vu2	
伍	伍	vu6	文讀
午	午	vu6	
悟	悟	vu6	文讀
戶	户	vu6	
戸	户	vu6	
户	户	vu6	
滬	沪	vu6	
互	互	vu6	
護	护	vu6	
惡	恶	vu6	可惡
撫	抚	vu6	
父	父	vu6	
腐	腐	vu6	
輔	辅	vu6	
附	附	vu6	
無	无	vu6	
武	武	vu6	
舞	舞	vu6	
侮	侮	vu6	
鵡	鹉	vu6	鸚鵡
務	务	vu6	
霧	雾	vu6	
婦	妇	vu6	
都	都	tu1	
堵	堵	tu3	
賭	赌	tu3	
肚	肚	tu3	豬肚
妒	妒	tu5	
土	土	thu3	
吐	吐	thu3	吐痰
吐	吐	thu5	嘔吐
兔	兔	thu5	
徒	徒	du2	
屠	屠	du2	
途	途	du2	
塗	涂	du2	
涂	涂	du2	
圖	图	du2	
杜	杜	du6	
肚	肚	du6	腹肚
度	度	du6	
渡	渡	du6	
鍍	镀	du6	
盧	卢	lu2	
爐	炉	lu2	
蘆	芦	lu2	蘆葦
鸕	鸕	lu2	鸕鶿
廬	庐	lu2	茅廬，廬山
魯	鲁	lu6	
櫓	橹	lu6	
滷	卤	lu6	
鹵	卤	lu6	
路	路	lu6	
露	露	lu6	
鷺	鹭	lu6	鷺鷥
租	租	tsu1	
祖	祖	tsu3	
組	组	tsu3	
阻	阻	tsu3	
粗	粗	tshu1	
初	初	tshu1	
楚	楚	tshu3	
礎	础	tshu3	
醋	醋	tshu5	
措	措	tshu5	措置
雛	雏	dzu2	
助	助	dzu6	
奴	奴	nu2	
娛	娱	nu2	
努	努	nu6	
怒	怒	nu6	
誤	误	nu6	
悟	悟	nu6	白讀
蘇	苏	su1	
酥	酥	su1	
梳	梳	su1	動詞，文讀
疏	疏	su1	疏遠
蔬	蔬	su1	
鬚	鬚	su1	
素	素	su5	
訴	诉	su5	
塑	塑	su5	
疏	疏	su5	註疏
數	数	su5	名次
姑	姑	ku1	
孤	孤	ku1	
箍	箍	ku1	文讀，又音
古	古	ku3	
估	估	ku3	估計
牯	牯	ku3	
股	股	ku3	
鼓	鼓	ku3	
