繁體	简体	吳拼	備注
蟹	蟹	ha3	
哈	哈	ha5	
鞋	鞋	gha2	
啊	啊	gha2	
埃	埃	a1	
鴉	鸦	a1	白讀 ～片
挨	挨	a1	～次
阿	阿	a1	～哥
矮	矮	a3	
阿	阿	a5	文讀 ～姆 傭人
爹	爹	tia1	白讀
佳	佳	cia1	
姐	姐	cia1	
家	家	cia1	文讀
嘉	嘉	cia1	文讀
借	借	cia5	
笡	笡	chia3	斜
欺	欺	chia5	～詐
茄	茄	jia2	
寫	写	shia3	
瀉	泻	shia5	
卸	卸	shia5	
邪	邪	zhia2	
謝	谢	zhia6	
斜	斜	zhia6	
崖	崖	ya2	
涯	涯	ya2	
爺	爷	ya2	白讀
也	也	ya6	白讀
野	野	ya6	白讀
夜	夜	ya6	白讀
呀	呀	ia1	
雅	雅	ia3	
亞	亚	ia5	
霞	霞	ia5	晚～
鴉	鸦	ia5	文讀 烏～
鵶	鸦	ia5	文讀 烏～
拐	拐	kua3	
怪	怪	kua3	奇～
怪	怪	kua5	～罪
快	快	khua5	
懷	怀	gua2	白讀
歪	歪	hua5	
歪	歪	ua1	
哇	哇	ua1	
壞	坏	ua5	
芭	芭	po1	
笆	笆	po1	
巴	巴	po1	～結
把	把	po3	
靶	靶	po3	
霸	霸	po5	
壩	坝	po5	
疤	疤	po5	
怕	怕	pho5	
爬	爬	bo2	
琶	琶	bo2	
吧	吧	bo2	
扒	扒	bo2	
杷	杷	bo2	
罷	罢	bo2	～工
巴	巴	bo2	下～
耙	耙	bo6	
稗	稗	bo6	～草
䶕	𫜨	bo6	～牙
麻	麻	mo2	
嗎	吗	mo2	
螞	蚂	mo2	
馬	马	mo6	
碼	码	mo6	
瑪	玛	mo6	
罵	骂	mo6	
媽	妈	mho5	
垛	垛	to1	
朵	朵	to3	
躲	躲	to3	
剁	剁	to5	
跖	跖	tho3	～鞋底
大	大	do6	～家
孥	孥	no2	兒～
女	女	no2	兒～
拿	拿	no6	
挪	挪	no6	
遮	遮	tso1	
渣	渣	tso1	
蔗	蔗	tso5	
詐	诈	tso5	
榨	榨	tso5	
炸	炸	tso5	
乍	乍	tso5	忽然
柞	柞	tso5	
抓	抓	tso5	
叉	叉	tsho1	
杈	杈	tsho1	
釵	钗	tsho1	白讀
差	差	tsho1	～別
車	车	tsho1	
扯	扯	tsho3	
岔	岔	tsho5	
茶	茶	dzo2	
搽	搽	dzo2	
查	查	dzo2	
乍	乍	dzo2	～浦
賒	赊	so1	
沙	沙	so1	
紗	纱	so1	
莎	莎	so1	
蓑	蓑	so1	
痧	痧	so1	
所	所	so3	
赦	赦	so3	
舍	舍	so3	白讀 ～棄
舍	舍	so5	白讀 鄰～
蛇	蛇	zo2	
佘	佘	zo2	姓
社	社	zo6	
惹	惹	zo6	
麝	麝	zo6	
加	加	ko1	
家	家	ko1	白讀
嘉	嘉	ko1	白讀
賈	贾	ko3	
假	假	ko3	真～
架	架	ko5	
嫁	嫁	ko5	
價	价	ko5	
駕	驾	ko5	
稼	稼	ko5	
假	假	ko5	放～
抲	抲	kho5	捉
跨	跨	go2	白讀 ～過去
牙	牙	ngo2	
芽	芽	ngo2	
衙	衙	ngo2	
胡	胡	ngo2	～須
瓦	瓦	ngo6	
砑	砑	ngo6	～光
我	我	ngo6	
蝦	虾	ho3	
呵	呵	ho5	～癢
下	下	gho6	
夏	夏	gho6	
廈	厦	gho6	
丫	丫	o1	～頭
椏	桠	o1	～杈
阿	阿	o1	～彌陀佛
啞	哑	o3	
鴉	鸦	o3	白讀 老～
鵶	鸦	o3	白讀 老～
掗	掗	o5	～賣豆腐
彪	彪	piau1	
鏢	镖	piau1	
鑣	镳	piau1	
飆	飙	piau1	
膘	膘	piau1	
標	标	piau1	
表	表	piau3	
婊	婊	piau3	
裱	裱	piau3	
飄	飘	phiau1	
漂	漂	phiau1	～浮
漂	漂	phiau3	～白
票	票	phiau5	
瓢	瓢	biau2	
嫖	嫖	biau2	
剽	剽	biau2	
鰾	鳔	biau6	
苗	苗	miau2	
描	描	miau2	
瞄	瞄	miau2	
謬	谬	miau2	
藐	藐	miau6	
渺	渺	miau6	
秒	秒	miau6	
廟	庙	miau6	
妙	妙	miau6	
繆	缪	miau6	姓
刁	刁	tiau1	
貂	貂	tiau1	
雕	雕	tiau1	
鳥	鸟	tiau3	白讀
窵	窎	tiau3	～角
釣	钓	tiau5	
吊	吊	tiau5	
凋	凋	tiau5	
碉	碉	tiau5	
挑	挑	thiau1	
糶	粜	thiau1	
跳	跳	thiau5	
條	条	diau2	
迢	迢	diau2	
掉	掉	diau6	
調	调	diau6	
燎	燎	liau2	
遼	辽	liau2	
寥	寥	liau2	白讀
療	疗	liau2	
僚	僚	liau2	
鐐	镣	liau2	
了	了	liau2	來～
聊	聊	liau6	
撩	撩	liau6	水中撈物
蹽	蹽	liau6	抄近路
瞭	了	liau6	明～
焦	焦	ciau1	
蕉	蕉	ciau1	
椒	椒	ciau1	
昭	昭	ciau1	
招	招	ciau1	
嬌	娇	ciau1	
驕	骄	ciau1	
郊	郊	ciau1	
澆	浇	ciau1	
矯	矫	ciau1	
沼	沼	ciau1	
繳	缴	ciau1	
狡	狡	ciau1	
礁	礁	ciau1	
釗	钊	ciau1	
蛟	蛟	ciau1	
姣	姣	ciau1	
皎	皎	ciau1	
交	交	ciau1	文讀
膠	胶	ciau1	文讀
茭	茭	ciau1	文讀
覺	觉	ciau1	文讀 睡～
朝	朝	ciau1	明～
餃	饺	ciau3	
絞	绞	ciau3	文讀
鉸	铰	ciau3	文讀
照	照	ciau5	
詔	诏	ciau5	
醮	醮	ciau5	
較	较	ciau5	
教	教	ciau5	文讀
叫	叫	ciau5	
